start,end,name
867.22,867.72,PostStimSilence
868.13,873.631,TRIAL
868.13,873.63,STIM_Oxford_male3b.wav
868.13,873.63,REFERENCE
868.13,870.13,PreStimSilence
873.13,873.63,PostStimSilence
874.12,879.621,TRIAL
874.12,879.62,STIM_SE4-04_African_Drums.wav
874.12,879.62,REFERENCE
874.12,876.12,PreStimSilence
879.12,879.62,PostStimSilence
880.09,885.591,TRIAL
880.09,885.59,STIM_ferretmixed12.wav
880.09,885.59,REFERENCE
880.09,882.09,PreStimSilence
885.09,885.59,PostStimSilence
886.03,891.531,TRIAL
886.03,891.53,STIM_ferretmixed36.wav
886.03,891.53,REFERENCE
886.03,888.03,PreStimSilence
891.03,891.53,PostStimSilence
892.01,897.511,TRIAL
892.01,897.51,STIM_00Oxford_male2b.wav
892.01,897.51,REFERENCE
892.01,894.01,PreStimSilence
897.01,897.51,PostStimSilence
897.9,903.401,TRIAL
897.9,903.4,STIM_00ferretmixed41.wav
897.9,903.4,REFERENCE
897.9,899.9,PreStimSilence
902.9,903.4,PostStimSilence
903.95,909.451,TRIAL
903.95,909.45,STIM_ferretmixed06.wav
903.95,909.45,REFERENCE
903.95,905.95,PreStimSilence
908.95,909.45,PostStimSilence
910.12,915.621,TRIAL
910.12,915.62,STIM_ferretmixed39.wav
910.12,915.62,REFERENCE
910.12,912.12,PreStimSilence
915.12,915.62,PostStimSilence
916.05,921.5509999999999,TRIAL
916.05,921.55,STIM_ASE-49_Wind_Chimes.wav
916.05,921.55,REFERENCE
916.05,918.05,PreStimSilence
921.05,921.55,PostStimSilence
922.06,927.5609999999999,TRIAL
922.06,927.56,STIM_LBHB_stairs.wav
922.06,927.56,REFERENCE
922.06,924.06,PreStimSilence
927.06,927.56,PostStimSilence
928.05,933.5509999999999,TRIAL
928.05,933.55,STIM_LBHB_scratch.wav
928.05,933.55,REFERENCE
928.05,930.05,PreStimSilence
933.05,933.55,PostStimSilence
933.93,939.4309999999999,TRIAL
933.93,939.43,STIM_kayser_snort.wav
933.93,939.43,REFERENCE
933.93,935.93,PreStimSilence
938.93,939.43,PostStimSilence
939.93,945.4309999999999,TRIAL
939.93,945.43,STIM_city.wav
939.93,945.43,REFERENCE
939.93,941.93,PreStimSilence
944.93,945.43,PostStimSilence
945.96,951.4630000000001,TRIAL
945.96,951.46,STIM_wooden_blocks_falling.wav
945.96,951.46,REFERENCE
945.96,947.96,PreStimSilence
950.96,951.46,PostStimSilence
951.92,957.4209999999999,TRIAL
951.92,957.42,STIM_SE2-70_Bee_Swarm.wav
951.92,957.42,REFERENCE
951.92,953.92,PreStimSilence
956.92,957.42,PostStimSilence
957.88,963.381,TRIAL
957.88,963.38,STIM_crunching_cellophane.wav
